device,storage,scenario,implementation,scheduler_threads,experiment,elapsed_time(ms),operations per client,buckets,clients,keys per bucket,keys total
omen,dict,read-only,central,17,26,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,27,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,28,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,29,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,17,30,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,1,301.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,2,305.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,3,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,4,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,5,296.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,6,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,7,298.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,8,294.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,9,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,10,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,11,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,12,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,13,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,14,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,15,284.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,16,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,17,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,18,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,19,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,20,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,21,275.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,22,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,23,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,24,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,25,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,26,296.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,27,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,28,276.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,29,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,18,30,298.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,1,297.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,2,319.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,3,291.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,4,295.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,5,289.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,6,287.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,7,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,8,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,9,286.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,10,292.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,11,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,12,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,13,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,14,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,15,278.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,16,276.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,17,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,18,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,19,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,20,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,21,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,22,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,23,277.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,24,280.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,25,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,26,301.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,27,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,28,285.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,29,279.0,1000,1000,100,100,100000
omen,dict,read-only,central,19,30,281.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,1,428.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,2,419.0,1000,1000,100,100,100000
omen,dict,read-only,central,2,3,408.0,1000,1000,100,100,100000
